7 126 882 
0 0 648.000000 -213.000000
1 0 623.279663 -227.455322
2 0 626.419983 -249.036743
3 0 591.239136 -220.003662
4 0 602.677002 -250.631592
5 0 594.421631 -213.016968
6 0 585.805603 -212.420288
0 1 915.000000 923.000000
1 1 919.164185 915.312012
2 1 921.198181 899.710938
3 1 932.474365 910.088928
4 1 945.153564 911.518555
5 1 935.523682 903.445435
6 1 924.657410 902.547852
0 2 785.000000 967.000000
1 2 789.496704 959.824341
2 2 791.825195 929.288330
3 2 804.533081 938.768066
4 2 816.773438 910.656372
5 2 807.160522 946.918945
6 2 796.541748 945.788269
0 3 1081.000000 943.000000
1 3 1085.160278 949.869446
2 3 1086.907959 918.926514
3 3 1095.946289 914.393799
4 3 1110.310669 916.250122
5 3 1099.238037 907.770508
6 3 1087.502441 906.727478
0 4 917.000000 759.000000
1 4 920.505371 751.502808
2 4 922.770508 721.997314
3 4 934.399780 748.902222
4 4 947.697571 720.023926
5 4 937.743713 713.537720
6 4 926.793335 713.026001
0 5 -1072.000000 -173.000000
1 5 -1092.611816 -185.072266
2 5 -1085.717773 -208.959106
3 5 -1108.433350 -192.163696
4 5 -1103.457275 -219.528442
5 5 -1103.682373 -186.717773
6 5 -1112.153809 -186.955444
0 6 214.000000 433.000000
1 6 190.103516 414.674011
2 6 194.421753 388.761963
3 6 159.515137 409.238281
4 6 168.308350 381.078430
5 6 161.891479 415.432312
6 6 153.387939 415.495117
0 7 981.000000 931.000000
1 7 985.131226 922.956177
2 7 987.051270 922.596619
3 7 997.231628 932.783081
4 7 1011.003845 904.456909
5 7 1000.583252 911.100586
6 7 989.352905 910.035889
0 8 952.000000 658.000000
1 8 954.875610 636.069702
2 8 956.750000 679.189453
3 8 968.221680 692.403503
4 8 981.597656 692.210632
5 8 971.086731 700.115906
6 8 960.157532 699.625854
0 9 1081.000000 791.000000
1 9 1084.320679 767.737244
2 9 1086.366455 737.917053
3 9 1096.144653 736.289001
4 9 1110.513550 736.589600
5 9 1098.974243 744.250122
6 9 1087.632935 743.524780
0 10 1129.000000 723.000000
1 10 1131.373413 714.938599
2 10 1133.351562 685.282898
3 10 1142.670654 713.817627
4 10 1157.450317 684.554321
5 10 1145.515503 721.886841
6 10 1134.125488 721.343445
0 11 724.000000 929.000000
1 11 728.274292 922.193787
2 11 730.687134 891.859741
3 11 743.942139 901.562622
4 11 755.699646 888.114624
5 11 747.264648 894.914124
6 11 736.712280 893.839844
0 12 692.000000 954.000000
1 12 697.419861 917.755493
2 12 699.853333 887.599854
3 12 714.210205 868.076355
4 12 725.183105 868.857605
5 12 716.979797 875.857300
6 12 706.594788 874.913391
0 13 1047.000000 985.000000
1 13 1051.287842 992.043579
2 13 1053.104980 960.840332
3 13 1062.565430 955.588867
4 13 1076.735840 927.244751
5 13 1065.774414 964.126221
6 13 1054.091309 962.899048
0 14 1047.000000 939.000000
1 14 1051.074097 946.019409
2 14 1052.946533 915.120911
3 14 1062.614258 925.591797
4 14 1076.717896 912.334473
5 14 1065.816650 903.948242
6 14 1054.346924 903.003296
0 15 1082.000000 762.000000
1 15 1085.225098 768.668701
2 15 1087.306152 738.878418
3 15 1097.096436 737.302979
4 15 1111.463745 737.588013
5 15 1099.927246 745.316284
6 15 1088.622437 744.599609
0 16 730.000000 725.000000
1 16 734.122559 689.862976
2 16 736.920959 661.160095
3 16 750.244385 687.316711
4 16 762.423218 658.694397
5 16 752.942383 694.800903
6 16 742.742920 694.248474
0 17 947.000000 1003.000000
1 17 951.691345 964.457275
2 17 953.824951 933.475464
3 17 964.497314 943.406250
4 17 977.838806 915.053528
5 17 967.562500 951.777222
6 17 956.261780 950.588074
0 18 698.000000 764.000000
1 18 702.291992 728.822571
2 18 705.232971 699.825378
3 18 749.817932 700.669128
4 18 761.150574 700.234131
5 18 752.429321 708.202026
6 18 742.298523 707.603149
0 19 1115.000000 947.000000
1 19 1119.013794 953.746277
2 19 1120.803467 922.730469
3 19 1129.355835 918.161072
4 19 1144.014404 920.008728
5 19 1132.608032 911.541992
6 19 1120.866089 910.527344
0 20 895.000000 953.000000
1 20 899.563354 930.272095
2 20 901.566528 899.675049
3 20 913.227539 895.049683
4 20 925.922119 896.336670
5 20 916.496643 888.359314
6 20 905.334229 887.405518
0 21 1014.000000 981.000000
1 21 1018.531433 942.141602
2 21 1020.512390 911.248047
3 21 1030.502197 906.773132
4 21 1044.288940 893.310791
5 21 1033.674805 900.049988
6 21 1022.191101 899.093323
0 22 863.000000 919.000000
1 22 867.058960 926.661987
2 22 869.103760 896.115295
3 22 880.770386 906.120850
4 22 893.153992 907.517578
5 22 883.813232 914.295471
6 22 872.854980 913.343750
0 23 630.000000 947.000000
1 23 634.331543 940.669434
2 23 637.084534 910.548950
3 23 651.664185 905.134888
4 23 663.193237 877.108154
5 23 655.466370 883.974731
6 23 645.414551 883.130859
0 24 930.000000 733.000000
1 24 933.022705 725.598755
2 24 935.128967 725.332947
3 24 946.784485 723.439087
4 24 959.921570 723.328247
5 24 949.424316 745.536804
6 24 938.555298 745.042603
0 25 -90.000000 -272.000000
1 25 -112.317139 -285.422852
2 25 -105.822021 -308.202637
3 25 -133.760742 -283.078369
4 25 -126.732178 -312.752075
5 25 -130.672485 -276.688354
6 25 -138.630737 -276.421631
0 26 866.000000 727.000000
1 26 868.655640 748.850464
2 26 871.161987 719.409790
3 26 883.132812 746.101807
4 26 896.090576 717.404541
5 26 886.550659 710.838684
6 26 875.936768 710.408569
0 27 578.000000 738.000000
1 27 582.052979 718.018311
2 27 585.239258 689.402344
3 27 542.022156 694.662415
4 27 552.029114 680.001221
5 27 544.370789 701.815247
6 27 534.881653 701.257141
0 28 692.000000 925.000000
1 28 696.511841 918.510132
2 28 698.959839 888.366150
3 28 713.312500 868.807129
4 28 724.292358 869.568787
5 28 716.091187 876.576965
6 28 705.689087 875.637756
0 29 915.000000 953.000000
1 29 919.331665 930.209229
2 29 921.447144 899.410278
3 29 932.862671 894.885864
4 29 945.629211 896.293579
5 29 935.759399 903.114380
6 29 924.893799 902.203186
0 30 80.000000 1191.000000
1 30 56.842163 1168.737061
2 30 60.011841 1137.972534
3 30 23.016968 1147.892212
4 30 31.207642 1120.971436
5 30 24.839478 1155.740112
6 30 16.197266 1154.347412
0 31 660.000000 980.000000
1 31 665.609497 943.925049
2 31 668.006531 913.575439
3 31 681.785828 922.537598
4 31 693.490479 894.440063
5 31 684.362366 930.389893
6 31 674.060242 929.289062
0 32 834.000000 767.000000
1 32 837.539307 745.407593
2 32 839.986633 716.085693
3 32 852.584717 728.361938
4 32 864.929565 713.808350
5 32 854.967529 750.312378
6 32 844.419312 749.550781
0 33 1149.000000 753.000000
1 33 1151.677246 744.320618
2 33 1153.885986 744.298218
3 33 1162.669556 742.944702
4 33 1177.694702 743.183350
5 33 1165.588745 736.235718
6 33 1154.031616 735.568176
0 34 638.000000 744.000000
1 34 641.546143 737.758179
2 34 644.318909 708.975037
3 34 658.828796 720.039062
4 34 670.253052 691.704529
5 34 662.347107 699.724792
6 34 652.509644 699.312012
0 35 882.000000 980.000000
1 35 886.989014 942.299011
2 35 889.164795 911.659790
3 35 900.020630 951.314819
4 35 880.715759 934.062988
5 35 870.808594 970.531189
6 35 859.701477 969.314880
0 36 754.000000 963.000000
1 36 758.937378 941.239807
2 36 761.268799 910.802795
3 36 773.617188 934.923462
4 36 785.760254 906.854858
5 36 776.557861 943.028137
6 36 765.841980 941.821289
0 37 818.000000 941.000000
1 37 822.449585 933.745972
2 37 824.703003 903.286865
3 37 837.294312 898.462646
4 37 849.392578 884.893799
5 37 840.444336 891.790161
6 37 829.590759 890.818604
0 38 461.000000 927.000000
1 38 466.711304 892.861511
2 38 469.414795 863.082153
3 38 453.665344 910.620361
4 38 464.176086 882.869629
5 38 456.318542 918.257935
6 38 446.687439 917.458496
0 39 124.000000 1159.000000
1 39 101.174194 1132.726440
2 39 104.842163 1098.536133
3 39 66.666138 1111.552246
4 39 75.513306 1083.199707
5 39 68.453613 1119.437988
6 39 59.977417 1118.342896
0 40 899.000000 715.000000
1 40 902.104736 707.728516
2 40 904.180542 707.463013
3 40 916.396851 705.666260
4 40 929.083923 705.522034
5 40 919.070618 713.432800
6 40 908.394775 712.727051
0 41 1149.000000 936.000000
1 41 1152.858643 927.273804
2 41 1154.730591 927.048462
3 41 1162.844604 937.737610
4 41 1177.775513 924.430359
5 41 1166.059204 931.147339
6 41 1154.112305 929.974609
0 42 1149.000000 982.000000
1 42 1153.123413 957.478943
2 42 1154.755615 926.350342
3 42 1162.854614 937.054932
4 42 1177.815430 923.709595
5 42 1166.098022 930.434448
6 42 1154.163574 929.300354
0 43 766.000000 937.000000
