Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
--------+---------------------
      0 | (1521.936523,123.094444)=    0 
      1 | (1366.906372,279.309204)=    0 
      2 | (604.755005,25.951395)=    0 
      3 | (-1.000000,-1.000000)=   -5 
      4 | (780.281616,105.619804)=    0 
      5 | (-1.000000,-1.000000)=   -5 
      6 | (709.737183,103.443687)=    0 
      7 | (319.103516,146.752731)=    0 
      8 | (1478.351685,274.382050)=    0 
      9 | (387.610046,175.075714)=    0 
     10 | (386.991608,144.771484)=    0 
     11 | (319.609161,177.248444)=    0 
     12 | (363.889984,224.328629)=    0 
     13 | (1364.013428,306.708618)=    0 
     14 | (538.345581,120.152122)=    0 
     15 | (-1.000000,-1.000000)=   -5 
     16 | (753.445007,118.142792)=    0 
     17 | (297.451843,310.648590)=    0 
     18 | (-1.000000,-1.000000)=   -5 
     19 | (595.341064,102.885841)=    0 
     20 | (877.347656,28.507818)=    0 
     21 | (323.578400,304.074127)=    0 
     22 | (341.217224,150.026581)=    0 
     23 | (1220.255127,341.103394)=    0 
     24 | (418.020996,181.062836)=    0 
     25 | (683.881165,111.732437)=    0 
     26 | (418.328033,144.663483)=    0 
     27 | (784.126038,64.830925)=    0 
     28 | (1232.892700,122.176987)=    0 
     29 | (875.898499,73.003723)=    0 
     30 | (1502.354126,276.823547)=    0 
     31 | (1502.318848,401.832611)=    0 
     32 | (340.846344,181.228943)=    0 
     33 | (579.848267,27.913809)=    0 
     34 | (294.796814,335.111603)=    0 
     35 | (306.500397,223.960907)=    0 
     36 | (880.488708,216.959915)=    0 
     37 | (400.986664,309.052460)=    0 
     38 | (608.215454,50.005085)=    0 
     39 | (366.458527,173.922897)=    0 
     40 | (1185.211914,291.362610)=    0 
     41 | (781.802795,38.412151)=    0 
     42 | (856.701538,64.137428)=    0 
     43 | (263.274689,248.763412)=    0 
     44 | (1216.905518,395.010468)=    0 
     45 | (898.543884,60.279831)=    0 
     46 | (545.424988,44.920292)=    0 
     47 | (367.508118,144.163177)=    0 
     48 | (432.886932,242.312698)=    0 
     49 | (877.408081,51.859825)=    0 
     50 | (1221.081909,292.517242)=    0 
     51 | (442.543732,32.381569)=    0 
     52 | (401.322998,253.528030)=    0 
     53 | (350.990845,277.557739)=    0 
     54 | (1491.884033,185.080826)=    0 
